"Año";"Periodo";"Carbón";"Petróleo";"Gas";"Cemento"
"1959";"Año";"4,9";"2,9";"0,8";"0,1"
"1960";"Año";"5,2";"3,1";"0,8";"0,2"
"1961";"Año";"4,9";"3,3";"0,9";"0,2"
"1962";"Año";"4,9";"3,6";"1";"0,2"
"1963";"Año";"5,1";"3,8";"1";"0,2"
"1964";"Año";"5,2";"4,1";"1,2";"0,2"
"1965";"Año";"5,3";"4,4";"1,2";"0,2"
"1966";"Año";"5,4";"4,8";"1,3";"0,2"
"1967";"Año";"5,3";"5,1";"1,4";"0,2"
"1968";"Año";"5,3";"5,5";"1,6";"0,3"
"1969";"Año";"5,5";"6";"1,7";"0,3"
"1970";"Año";"5,7";"6,8";"1,8";"0,3"
"1971";"Año";"5,7";"7,2";"1,9";"0,3"
"1972";"Año";"5,7";"7,8";"2,1";"0,3"
"1973";"Año";"5,9";"8,2";"2,2";"0,3"
"1974";"Año";"5,9";"8,1";"2,3";"0,3"
"1975";"Año";"6";"8";"2,3";"0,3"
"1976";"Año";"6,3";"8,5";"2,4";"0,4"
"1977";"Año";"6,4";"8,8";"2,4";"0,4"
"1978";"Año";"6,5";"9,2";"2,6";"0,4"
"1979";"Año";"6,8";"9,3";"2,7";"0,4"
"1980";"Año";"7";"9";"2,8";"0,4"
"1981";"Año";"7";"8,6";"2,8";"0,4"
"1982";"Año";"7,1";"8,3";"2,7";"0,4"
"1983";"Año";"7,3";"8,3";"2,8";"0,4"
"1984";"Año";"7,7";"8,3";"3";"0,4"
"1985";"Año";"8,2";"8,3";"3,1";"0,4"
"1986";"Año";"8,3";"8,6";"3";"0,4"
"1987";"Año";"8,6";"8,7";"3,3";"0,5"
"1988";"Año";"8,9";"9";"3,5";"0,5"
"1989";"Año";"8,9";"9,1";"3,6";"0,5"
"1990";"Año";"8,7";"9,2";"3,8";"0,5"
"1991";"Año";"8,6";"9,7";"3,9";"0,5"
"1992";"Año";"8,4";"9,2";"4";"0,5"
"1993";"Año";"8,5";"9,2";"4,1";"0,6"
"1994";"Año";"8,5";"9,3";"4,1";"0,6"
"1995";"Año";"8,8";"9,4";"4,2";"0,6"
"1996";"Año";"9";"9,6";"4,4";"0,6"
"1997";"Año";"9";"9,8";"4,4";"0,7"
"1998";"Año";"8,7";"9,9";"4,5";"0,7"
"1999";"Año";"8,9";"10,1";"4,6";"0,7"
"2000";"Año";"9,2";"10,3";"4,7";"0,7"
"2001";"Año";"9,3";"10,4";"4,8";"0,8"
"2002";"Año";"9,7";"10,4";"4,9";"0,8"
"2003";"Año";"10,5";"10,7";"5,1";"0,9"
"2004";"Año";"10,9";"11";"5,3";"0,9"
"2005";"Año";"11,5";"11,1";"5,4";"1"
"2006";"Año";"12,2";"11,2";"5,5";"1,1"
"2007";"Año";"12,8";"11,3";"5,7";"1,1"
"2008";"Año";"13,2";"11,3";"5,9";"1,1"
"2009";"Año";"13";"11";"5,8";"1,2"
"2010";"Año";"13,9";"11,4";"6,2";"1,3"
"2011";"Año";"14,7";"11,4";"6,4";"1,3"
"2012";"Año";"14,9";"11,5";"6,5";"1,4"
"2013";"Año";"15";"11,6";"6,5";"1,4"
"2014";"Año";"15,1";"11,7";"6,7";"1,5"
"2015";"Año";"14,7";"11,9";"6,8";"1,4"
"2016";"Año";"14,4";"12";"7";"1,5"
"2017";"Año";"14,5";"12,2";"7,1";"1,5"
"2018";"Año";"14,7";"12,3";"7,5";"1,6"
"2019";"Año";"14,7";"12,3";"7,6";"1,6"
"2020";"Año";"14,2";"11,2";"7,6";"1,6"
"2021";"Año";"15";"11,8";"7,9";"1,7"
"2022";"Año";"15,1";"12,1";"7,9";"1,6"
;;;;;
;;;;;
"Métrica":"Carbón"
"Fuente":"Global Carbon Project"
"Clasificación":""
"Unidad":"Toneladas de CO2"
"Escala":"Miles de millones"
"EscalaFactorPotencia10":"9"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Métrica":"Petróleo"
"Fuente":"Global Carbon Project"
"Clasificación":""
"Unidad":"Toneladas de CO2"
"Escala":"Miles de millones"
"EscalaFactorPotencia10":"9"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Métrica":"Gas"
"Fuente":"Global Carbon Project"
"Clasificación":""
"Unidad":"Toneladas de CO2"
"Escala":"Miles de millones"
"EscalaFactorPotencia10":"9"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Métrica":"Cemento"
"Fuente":"Global Carbon Project"
"Clasificación":""
"Unidad":"Toneladas de CO2"
"Escala":"Miles de millones"
"EscalaFactorPotencia10":"9"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Url":"https://www.epdata.es/evolucion-emisiones-globales-co2-origen-fosil/e0505233-2ae6-4de8-9c2f-be5c37660f99"
"Titulo":"Evolución en las emisiones globales de CO2 por origen"
"Subtitulo":""
